n_assets,choose_k,run_idx,best_objective,reference_objective,gap_to_reference,selected_count,feasible_cardinality,expected_return,portfolio_variance,acceptance_rate
24,6,4,-1.487729231429256,-1.8396478767202495,0.3519186452909935,6,True,0.9280257524037934,0.2283964036219388,0.11122222222222222
24,6,5,-1.5606222896016675,-1.8396478767202495,0.27902558711858205,6,True,0.9573740216300071,0.2033136866654358,0.11124444444444445
24,6,6,-1.5412449642487758,-1.8396478767202495,0.29840291247147377,6,True,0.9969825653159007,0.31665456664977454,0.11224444444444444
24,6,7,-1.619267331763524,-1.8396478767202495,0.22038054495672554,6,True,0.9801324765097009,0.1812139074423911,0.1126888888888889
24,6,8,-1.5620899361645968,-1.8396478767202495,0.27755794055565275,6,True,0.9821801961874569,0.257293021216017,0.11455555555555555
24,6,9,-1.469080376118626,-1.8396478767202495,0.3705675006016236,6,True,0.9329229718591314,0.2627262165347404,0.11148888888888889
24,6,10,-1.6350234023366994,-1.8396478767202495,0.20462447438355014,6,True,0.9610084489247964,0.11848975715991195,0.11137777777777778
24,6,11,-1.4749838106844209,-1.8396478767202495,0.3646640660358287,6,True,0.9694487785247369,0.3375299883251208,0.11333333333333333
24,6,12,-1.682767941427116,-1.8396478767202495,0.1568799352931336,6,True,1.0180570162820612,0.18716835985072683,0.11208888888888889
24,6,13,-1.5584570647320675,-1.8396478767202495,0.2811908119881821,6,True,0.9523170856269242,0.19464211174548257,0.11153333333333333
24,6,14,-1.5680911826261905,-1.8396478767202495,0.271556694094059,6,True,0.9724279155584417,0.22784883172378984,0.11331111111111111
24,6,15,-1.550166915974927,-1.8396478767202495,0.2894809607453226,6,True,0.9489224301347776,0.19736682283463672,0.11137777777777778
24,6,16,-1.6007796383618142,-1.8396478767202495,0.2388682383584353,6,True,0.9612013176011578,0.161728416650344,0.11122222222222222
24,6,17,-1.5203661751891246,-1.8396478767202495,0.3192817015311249,6,True,1.0146977338458858,0.3826121821668184,0.11108888888888889
24,6,18,-1.4915836598388523,-1.8396478767202495,0.3480642168813972,6,True,0.8975395614865188,0.15498443854608196,0.11222222222222222
24,6,19,-1.619267331763524,-1.8396478767202495,0.22038054495672554,6,True,0.9801324765097009,0.1812139074423911,0.11235555555555556
24,6,20,-1.5620899361645968,-1.8396478767202495,0.27755794055565275,6,True,0.9821801961874569,0.257293021216017,0.11455555555555555
24,6,21,-1.469080376118626,-1.8396478767202495,0.3705675006016236,6,True,0.9329229718591314,0.2627262165347404,0.1112888888888889
24,6,22,-1.6350234023366994,-1.8396478767202495,0.20462447438355014,6,True,0.9610084489247964,0.11848975715991195,0.11124444444444445
24,6,23,-1.5485222690819285,-1.8396478767202495,0.29112560763832107,6,True,0.9128008386034759,0.11814905050541132,0.11331111111111111
