n_cities,variables,run_idx,best_qubo_objective,raw_route_length,two_opt_route_length,raw_ratio_to_reference,two_opt_ratio_to_reference,raw_feasible,onehot_violation,acceptance_rate
12,144,2,17995.016731325937,67.57105141645275,39.12681812221054,1.950386243705658,1.1293654046494757,False,13,0.1305185185185185
12,144,3,13803.85622613667,64.98621286714294,35.8133016198231,1.8757768741147862,1.033723308380798,False,10,0.1301604938271605
12,144,4,18001.944780204703,69.24746248866204,38.212671377105636,1.9987745553493739,1.1029792644458503,False,13,0.12854320987654322
12,144,5,15198.760074560449,62.79567458665924,37.67714057754349,1.8125486774387496,1.087521581271597,False,9,0.1250740740740741
12,144,6,12459.765311600047,55.37380580780999,35.8133016198231,1.5983221637851308,1.033723308380798,False,9,0.13061728395061728
12,144,7,12460.532638204571,53.443653498436305,34.64495898416016,1.5426098071835208,0.9999999999999998,False,9,0.1282962962962963
12,144,8,15230.953656010282,67.89057925746845,35.23474786271701,1.959609168205635,1.0170238007447632,False,11,0.127358024691358
12,144,9,12478.856979959295,52.83029273216012,35.82445915269143,1.5249056220939492,1.0340453619549828,False,9,0.12280246913580246
12,144,10,13832.16039120574,59.96543909775526,35.824459152691425,1.7308561145987134,1.0340453619549825,False,10,0.126
12,144,11,16581.914974079053,58.75308432617784,45.509031898519375,1.6958624298859761,1.3135830791234682,False,10,0.1308641975308642
12,144,12,15247.695497873348,60.52622423234705,40.56211581811806,1.747042744660772,1.170794164792149,False,11,0.1235679012345679
12,144,13,12495.832542004846,65.15265626485271,44.29380346230663,1.8805811343185828,1.2785064482991004,False,9,0.13074074074074074
12,144,14,16629.726404296296,67.81903897988565,44.128000865658485,1.9575442133123269,1.2737206843233384,False,12,0.1307037037037037
12,144,15,15228.845453263515,59.34515641496797,42.3895280342938,1.7129521337318032,1.223541007904627,False,11,0.12632098765432098
12,144,16,17987.67109118709,61.49545698190828,35.23474786271701,1.7750188998643146,1.0170238007447632,False,13,0.12840740740740741
12,144,17,15251.726881360588,64.91583585226273,40.64789379873346,1.8737454959015118,1.1732700799939715,False,11,0.12354320987654321
12,144,18,13856.291001881611,62.32505725286157,40.591065578308246,1.7989646713496432,1.1716297772748603,False,10,0.12998765432098766
12,144,19,15214.22258175935,59.781742366227,45.00822704831628,1.725553850231414,1.2991277336738727,False,11,0.129
12,144,20,17991.780961782057,52.667680877924454,34.64495898416017,1.5202119564351153,1.0,False,11,0.12690123456790123
12,144,21,12474.078867255459,60.983108509655864,35.82445915269143,1.7602303566743323,1.0340453619549828,False,9,0.122
12,144,22,8341.000053745545,60.87288897597121,37.93200036475275,1.7570489549086366,1.0948779123131718,False,6,0.12581481481481482
12,144,23,17950.703636586568,61.090627451607936,35.234747862717,1.763333807944147,1.017023800744763,False,11,0.13258024691358025
16,256,0,83155.02501331286,116.23900442947938,62.960046687598464,2.4199977496011176,1.3107749162735323,False,18,0.1431851851851852
16,256,1,93579.89656506453,113.74346589435065,63.44814703362019,2.3680427481909128,1.3209367526102218,False,22,0.14269135802469135
16,256,2,67679.6318570604,126.24667445156273,54.22632878646964,2.628348974313175,1.1289462971269753,False,16,0.13930864197530865
16,256,3,75343.21788269895,112.22386825537664,51.70274802099283,2.3364060107234366,1.0764074802008925,False,19,0.1436172839506173
16,256,4,80501.82416128775,97.8436734691561,53.62555751853941,2.0370225189920346,1.1164387475006516,False,19,0.14523456790123457
16,256,5,75391.68917300308,124.44815192674861,52.60919816027051,2.590905256655582,1.0952790053653088,False,19,0.14380246913580247
16,256,6,70190.46269960342,99.30590953345376,58.17363256233927,2.0674650369949545,1.211125822850562,False,15,0.1448148148148148
16,256,7,77933.91008108952,104.78873818576302,53.540540056455896,2.1816128917977435,1.1146687558534527,False,18,0.14337037037037037
16,256,8,80445.95820143822,111.98945438876405,52.834581441665044,2.3315257123032795,1.0999712946398903,False,23,0.14349382716049383
16,256,9,59760.020436209605,105.27766641943751,53.97879771902156,2.1917919640550814,1.123792909680818,False,23,0.1434074074074074
16,256,10,59774.17801736943,121.64896121011563,56.967828985355105,2.5326284736755125,1.186022012325989,False,17,0.13977777777777778
16,256,11,75343.21788269895,112.22386825537664,51.70274802099283,2.3364060107234366,1.0764074802008925,False,19,0.1434074074074074
16,256,12,80598.17264386202,112.10662188289209,58.651135234565615,2.3339650404230268,1.2210670245830435,False,21,0.14519753086419754
16,256,13,75391.68917300308,124.44815192674861,52.60919816027051,2.590905256655582,1.0952790053653088,False,19,0.14390123456790124
16,256,14,75369.398481462,106.59709510257747,48.03269112487347,2.2192613531782053,1.0,False,21,0.14520987654320988
16,256,15,77933.91008108952,104.78873818576302,53.540540056455896,2.1816128917977435,1.1146687558534527,False,18,0.1438148148148148
16,256,16,80515.04525772546,84.52732628689066,54.395701656656264,1.7597874345024702,1.1324724970175102,False,19,0.14303703703703705
