time,good_ai,raw_bad_ai_interp,fitted_bad_ai_interp,raw_residual,fitted_residual
28.7395458221436,-0.0636505037546158,-0.0524191167565204,-0.06613271186044395,0.011231386998095401,-0.0024822081058281514
28.8650798797607,-0.073372483253479,-0.052166673395382925,-0.06637587657199079,0.02120580985809608,0.0069966066814882155
28.9905815124512,-0.0636054500937462,-0.05200706834583183,-0.06671389052022833,0.011598381747914367,-0.0031084404264821314
29.1160831451416,-0.0624858699738979,-0.052132356224257784,-0.06674317220678694,0.010353513749640116,-0.004257302232889039
29.2415752410889,-0.0631797686219215,-0.05225965045208355,-0.06668872774196784,0.010920118169837949,-0.00350895912004634
29.3670921325684,-0.0617795288562775,-0.05269698326827896,-0.06690569633235137,0.009082545587998543,-0.005126167476073869
29.4925994873047,-0.0619210302829742,-0.052512345725699745,-0.0670006326052018,0.009408684557274456,-0.005079602322227594
29.6181163787842,-0.0617645904421806,-0.053917349510714904,-0.06702922965330449,0.007847240931465695,-0.005264639211123891
29.743631362915,-0.0618095695972443,-0.056223043762328284,-0.06725266928092333,0.005586525834916013,-0.00544309968367903
29.869140625,-0.0719114169478416,-0.056620013258652006,-0.0672886844001898,0.015291403689189596,0.004622732547651803
29.9946422576904,-0.0638049766421318,-0.0552613828794419,-0.06734400164003078,0.008543593762689906,-0.0035390249978989735
30.1201496124268,-0.0630965828895569,-0.05457298401830095,-0.06721682332517358,0.00852359887125595,-0.004120240435616679
30.2456760406494,-0.0692126229405403,-0.05422160483350169,-0.06735338755558706,0.014991018107038609,0.0018592353849532367
30.371166229248,-0.0841301828622818,-0.054474580782158874,-0.06724425947416082,0.029655602080122925,0.016885923388120977
30.4966697692871,-0.0676804780960083,-0.05436008039599835,-0.06732117114605184,0.01332039770000995,0.0003593069499564644
30.6221542358398,-0.0660483315587044,-0.05449778224640194,-0.0672589803473454,0.011550549312302462,-0.0012106487886409945
30.7476749420166,-0.0652005150914192,-0.05429375380801629,-0.0671006499529054,0.010906761283402913,-0.0019001348614861996
30.8731727600098,-0.0644218847155571,-0.054183982184496916,-0.06729014507730247,0.010237902531060182,-0.0028682603617453672
30.9986991882324,-0.0655728876590729,-0.06038045348680592,-0.06526275178740752,0.005192434172266981,0.0003101358716653818
31.1241912841797,-0.0660681203007698,-0.0627766810459314,-0.06624761913492846,0.0032914392548384075,-0.00017949883415865897
31.2496967315674,-0.065022200345993,-0.06148415194638301,-0.06644386324187142,0.003538048399609993,-0.0014216628958784172
31.3751964569092,-0.0679011344909668,-0.061117343494097816,-0.0656286017418323,0.006783790996868981,0.002272532749134498
31.5007095336914,-0.0735492929816246,-0.06256567782435901,-0.06607899587295572,0.010983615157265592,0.00747029710866888
31.6262187957764,-0.0656173005700111,-0.060015104307771815,-0.06618143595869397,0.005602196262239283,-0.0005641353886828709
31.7517318725586,-0.0652902498841286,-0.06157847120105929,-0.06629276373883207,0.0037117786830693084,-0.0010025138547034712
31.8772315979004,-0.0655599385499954,-0.0592147536871358,-0.06636484512684718,0.006345184862859593,-0.0008049065768517827
32.0027351379395,-0.0652847588062286,-0.05889750229535687,-0.0664497629729468,0.006387256510871728,-0.001165004166718206
32.128231048584,-0.0772718340158463,-0.058850140398334194,-0.06655537737477708,0.0184216936175121,0.01071645664106921
