dataset,run_idx,best_energy,final_energy,energy_gap_to_optimum,hit_optimum,acceptance_rate,early_acceptance_rate,late_acceptance_rate
bad,20,-56.0,-56.0,2.0,False,0.017222222222222222,0.06944444444444445,0.011111111111111112
bad,21,-56.0,-54.0,2.0,False,0.02666666666666667,0.044444444444444446,0.016666666666666666
bad,22,-50.0,-50.0,8.0,False,0.028333333333333332,0.058333333333333334,0.005555555555555556
bad,23,-58.0,-56.0,0.0,True,0.02666666666666667,0.05277777777777778,0.011111111111111112
bad,24,-58.0,-58.0,0.0,True,0.03277777777777778,0.06111111111111111,0.019444444444444445
bad,25,-58.0,-58.0,0.0,True,0.027777777777777776,0.08333333333333333,0.013888888888888888
bad,26,-58.0,-56.0,0.0,True,0.028888888888888888,0.07777777777777778,0.016666666666666666
bad,27,-58.0,-56.0,0.0,True,0.03222222222222222,0.05555555555555555,0.008333333333333333
bad,28,-50.0,-50.0,8.0,False,0.021666666666666667,0.05277777777777778,0.002777777777777778
bad,29,-58.0,-56.0,0.0,True,0.02666666666666667,0.075,0.005555555555555556
bad,30,-58.0,-58.0,0.0,True,0.03166666666666667,0.05555555555555555,0.008333333333333333
bad,31,-50.0,-50.0,8.0,False,0.022222222222222223,0.04722222222222222,0.011111111111111112
bad,32,-58.0,-58.0,0.0,True,0.020555555555555556,0.06111111111111111,0.005555555555555556
bad,33,-58.0,-54.0,0.0,True,0.028888888888888888,0.08611111111111111,0.008333333333333333
bad,34,-50.0,-50.0,8.0,False,0.025,0.075,0.008333333333333333
bad,35,-50.0,-50.0,8.0,False,0.03944444444444444,0.09722222222222222,0.022222222222222223
bad,36,-56.0,-56.0,2.0,False,0.022222222222222223,0.05555555555555555,0.011111111111111112
bad,37,-56.0,-56.0,2.0,False,0.02722222222222222,0.06111111111111111,0.005555555555555556
bad,38,-58.0,-56.0,0.0,True,0.015,0.030555555555555555,0.002777777777777778
bad,39,-58.0,-56.0,0.0,True,0.03333333333333333,0.075,0.002777777777777778
