dataset,state,start_time,end_time,duration,start_index,end_index
selected_curve,1,432.38,432.75,0.37000000000000455,3444,3446
selected_curve,2,432.75,438.02,5.269999999999982,3447,3488
selected_curve,3,438.02,456.85,18.83000000000004,3489,3638
selected_curve,4,456.85,464.88,8.029999999999973,3639,3702
selected_curve,3,464.88,470.91,6.03000000000003,3703,3750
selected_curve,4,470.91,475.55,4.639999999999986,3751,3787
selected_curve,2,475.55,476.18,0.6299999999999955,3788,3792
selected_curve,3,476.18,478.94,2.759999999999991,3793,3814
selected_curve,4,478.94,503.41,24.470000000000027,3815,4009
selected_curve,5,503.41,514.206,10.795999999999992,4010,4095
